"Plan";"Sencilla";"Doble";"Triple";"1er niño";"2do niño"
"Combinado Grand Aston Cayo Las Brujas y Grand Aston Habana";"1715";"1315";"1285";"541";"735"
"Combinado Iberostar Selection Ensenachos y Grand Aston Habana";"1805";"1510";"1425";"915";"915"
