"Plan";"Sencilla";"Doble";"Triple";"1er niño";"2do niño"
"Combinado Grand Aston Cayo Las Brujas";"1515";"1075";"1075";"541";"820"
"Combinado Iberostar Ensenachos";"1775";"1355";"1325";"691";"915"
